job_title,company_name,company_location,work_method,post_date,work_time
Energy Lead,Arup,"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
UK Energy Manager,Airbus,"Broughton, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
"Senior Associate, Energy & Equity",WBCSD – World Business Council for Sustainable Development,"London Area, United Kingdom",Hybrid,1 day ago,Full-time · Associate
"Strategy& Consultant – Energy, Utilities, Resources - Manager",PwC UK,"Edinburgh, Scotland, United Kingdom",Hybrid,2 days ago,Full-time · Mid-Senior level
Energy Consultant,Torque Consulting,"Manchester Area, United Kingdom",Hybrid,1 week ago,"£20,000/yr - £45,000/yr · Full-time · Mid-Senior level"
Quantitative Carbon Analyst - Graduate,Gresham Hunt,"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Entry level
Carbon and Climate Change Consultant - Commodities and Energy Trading Industry,Baringa,"London Area, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Carbon & Energy Manager,Falmouth Exeter Plus,"Penryn, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Energy Trading/ETRM Analyst (Technical and Functional) - SA,PwC UK,"Birmingham, England, United Kingdom",Hybrid,1 week ago,Full-time · Associate
"Energy Lead, Aon Climate",Aon,"London, England, United Kingdom",Hybrid,1 week ago,Full-time · Associate
Management Consultant - Energy & Utilities - Customer Experience (London/Manchester/Glasgow),Capgemini Invent,"London, England, United Kingdom",Hybrid,3 days ago,Full-time · Mid-Senior level
"Senior Analyst, Distributed Clean Energy Analytics",Edison Energy,"London, England, United Kingdom",Hybrid,2 days ago,Full-time · Mid-Senior level
Energy Modelling Analyst,Aurora Energy Research,"Oxford, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Low Carbon Energy Adviser,Community Energy Plus,"Bude, England, United Kingdom",Hybrid,1 week ago,"£25,708/yr - £26,829/yr · Full-time"
Group Energy Manager (Renewables & Net Zero),Tesco,"Welwyn Garden City, England, United Kingdom",Hybrid,4 days ago,Full-time · Mid-Senior level
Market Data Curves Analyst,Centrica Energy Trading,"London, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Renewables Energy Analyst - UK - Hybrid,ersg Ltd,"England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Senior Energy Analyst,Selby Jennings,"London, England, United Kingdom",Hybrid,3 days ago,Full-time · Mid-Senior level
"Strategy& Consultant – Energy, Utilities, Resources - Manager",PwC UK,"Belfast, Northern Ireland, United Kingdom",Hybrid,2 days ago,Full-time · Mid-Senior level
Strategy Analyst,Consult Energy UK,"London, England, United Kingdom",Hybrid,2 weeks ago,"£40,000/yr · Full-time · Mid-Senior level"
Energy Systems Modelling Expert - Climate Change Impact,Baringa,"London Area, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Solar Asset Manager – Renewable Energy Investment Platform,Mint Selection Clean Energy Recruitment Specialist,"London, England, United Kingdom",Hybrid,5 days ago,Full-time · Mid-Senior level
Analyst LCA Consultant,Ricardo plc,"England, United Kingdom",Hybrid,3 weeks ago,Full-time · Entry level
Sustainability Consultant Energy Modeller,Hilson Moran,"London, England, United Kingdom",Hybrid,1 week ago,Full-time · Associate
Energy Manager,WestRock Company,United Kingdom,Remote,2 weeks ago,Full-time · Mid-Senior level
"Senior Analyst, Electric Vehicle Strategy Advisory",Edison Energy,"London, England, United Kingdom",Hybrid,2 days ago,Full-time · Mid-Senior level
Energy Consultant,The Green Recruitment Company,"London, England, United Kingdom",Hybrid,2 weeks ago,"£35,000/yr - £50,000/yr · Full-time · Mid-Senior level"
Senior Solar PV Energy Yield Specialist,Mott MacDonald,"Bristol, England, United Kingdom",Hybrid,1 day ago,Full-time · Entry level
Data Lead - Global Sustainability,JLL,"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Senior Consultant Energy & Carbon Management,Ricardo plc,"England, United Kingdom",Hybrid,5 days ago,Full-time · Mid-Senior level
Senior Solar PV Energy Yield Specialist,Mott MacDonald,"Brighton, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Entry level
10 x Energy Trading Back & Middle Office Analysts – Big 4 Consultancy,Bramwith Consulting,"Birmingham, England, United Kingdom",Hybrid,2 weeks ago,"£50,000/yr - £100,000/yr · Full-time · Associate"
"Principal / Associate Consultant - Energy, Strategy & Planning",Ramboll,"London, England, United Kingdom",Remote,1 month ago,Full-time · Mid-Senior level
Principal Energy Networks Strategy Analyst - London,WSP in the UK,"London, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Business Development Officer - Renewable Energy and Energy Storage Consultancy,Decerna,"London, England, United Kingdom",Remote,1 week ago,Full-time
Senior Solar PV Energy Yield Specialist,Mott MacDonald,"Glasgow, Scotland, United Kingdom",Hybrid,2 weeks ago,Full-time · Entry level
Business Transformation Analyst - Leeds,ENGIE UK,"West Yorkshire, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Business Analyst (Energy and Utilities),Expleo Group,"London Area, United Kingdom",Hybrid,6 days ago,Full-time · Mid-Senior level
"Principal / Associate Consultant - Energy, Strategy & Planning",Ramboll,"Manchester, England, United Kingdom",Remote,1 month ago,Full-time · Mid-Senior level
Socio-economic Consultant - Energy Transition,BIGGAR Economics Ltd,"Edinburgh, Scotland, United Kingdom",Hybrid,1 week ago,Full-time
Energy Consultant,Evergreen Resources,"England, United Kingdom",Remote,2 weeks ago,"£35,000/yr - £50,000/yr · Full-time · Mid-Senior level"
"Principal / Associate Consultant - Energy, Strategy & Planning",Ramboll,"Bristol, England, United Kingdom",Remote,1 month ago,Full-time · Mid-Senior level
"Senior Impact Officer, Energy",Climate Group,"London, England, United Kingdom",Hybrid,1 day ago,"£32,950/yr - £36,260/yr · Full-time · Associate"
Senior Carbon and Sustainability Advisor,Mott MacDonald,"Manchester, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Environmental and Sustainability Advisor,Balfour Beatty plc,"West Midlands, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
"Senior Consultant, Sustainability",UK Power Networks Services,"London, England, United Kingdom",Hybrid,1 week ago,Contract · Mid-Senior level
Energy & Carbon Consultant or Senior,TFT,"London Area, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Energy Manager,Unite Students,"Wide Open, England, United Kingdom",Hybrid,3 months ago,Full-time · Mid-Senior level
Energy Consultant (Built Environment),RPS,"London Area, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
"Principal / Associate Consultant - Energy, Strategy & Planning",Ramboll,"Edinburgh, Scotland, United Kingdom",Remote,1 month ago,Full-time · Mid-Senior level
Energy Consultant,JSM Associates,"London, England, United Kingdom",Hybrid,2 days ago,"£40,000/yr - £50,000/yr · Full-time · Mid-Senior level"
Research Events Manager,Cancer Research UK (CRUK),"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Consultant/Senior Associate - Solar Energy & Battery Storage,ERM,Greater Leeds Area,Hybrid,2 days ago,Full-time · Mid-Senior level
New Energy Project Lawyer,bp,"Sunbury-on-Thames, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Energy Manager,Balfour Beatty plc,"Manchester, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Energy Transition Technical Data Manager,North Sea Transition Authority,"Aberdeen City, Scotland, United Kingdom",Hybrid,4 days ago,Full-time · Associate
Energy & Climate Change (Mid-Senior Level),ERM,"London, England, United Kingdom",Hybrid,5 days ago,Full-time · Mid-Senior level
Senior Energy and Carbon Consultant,Expedition Engineering Ltd,"London, England, United Kingdom",Hybrid,1 day ago,Full-time
Technical Consultant (Energy),Optimised,"Blackpool, England, United Kingdom",Hybrid,2 weeks ago,"£45,000/yr - £60,000/yr · Full-time · Associate"
Energy Transition Consultants- Oil & Gas Industry,Baringa,"London Area, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Senior Energy Consultant,EcoAct,"England, United Kingdom",Hybrid,4 days ago,Full-time · Mid-Senior level
Energy Portfolio Manager,Lhyfe UK,"Newcastle upon Tyne, England, United Kingdom",Hybrid,5 days ago,Full-time · Associate
Energy Technology Researcher,Honda Motor Europe Ltd,"Reading, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Energy Operations Administrator,Utility Warehouse,"London, England, United Kingdom",Remote,2 weeks ago,Full-time · Entry level
Energy Manager,Royal British Legion,"London, England, United Kingdom",Hybrid,2 weeks ago,"£45,000/yr - £55,000/yr · Contract · Mid-Senior level"
Energy Metering Coordinator,Gemserv,"London, England, United Kingdom",Hybrid,2 weeks ago,"£27,500/yr - £31,000/yr · Full-time"
Energy and Sustainability Manager,The Green Recruitment Company,"London, England, United Kingdom",Hybrid,2 weeks ago,"£50,000/yr - £70,000/yr · Full-time · Mid-Senior level"
Energy Manager,Balfour Beatty plc,"Wide Open, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
